def,word,page,timestamp,lesson,practice,button,quiz
false,true,"Main",1542057428,"65",true,"Submit",false
false,true,"Main",1542145634,"10",true,"Submit",false
false,true,"Main",1542145650,"",true,"Quit",false
false,true,"Main",1542145859,"26",true,"Submit",false
false,true,"Main",1542146076,"78",true,"Submit",false
false,true,"Main",1542228556,"26",true,"Submit",false
false,true,"Main",1542228641,"78",true,"Submit",false
false,true,"Main",1542228870,"23",false,"Submit",true
false,true,"Main",1542229077,"78",true,"Submit",false
true,false,"Main",1542229379,"78",true,"Submit",false
false,true,"Main",1542314898,"25",true,"Submit",false
false,true,"Main",1542315144,"78",true,"Submit",false
false,true,"Main",1542315547,"",false,"Submit",true
false,true,"Main",1542315560,"25",false,"Submit",true
false,true,"Main",1542315729,"78",true,"Submit",false
false,true,"Main",1542377508,"45",true,"Submit",false
false,true,"Main",1542377621,"78",true,"Submit",false
false,true,"Main",1542377862,"78",false,"Submit",true
false,true,"Main",1542378237,"20",true,"Submit",false
false,true,"Main",1542475250,"50",true,"Submit",false
false,true,"Main",1542475360,"98",true,"Submit",false
false,true,"Main",1542475775,"27",true,"Submit",false
false,true,"Main",1542475866,"34",true,"Submit",false
false,true,"Main",1542476017,"35",true,"Submit",false
false,true,"Main",1542653981,"98",true,"Submit",false
false,true,"Main",1542654346,"33",true,"Submit",false
false,true,"Main",1542654471,"35",true,"Submit",false
false,true,"Main",1542654690,"43",true,"Submit",false
false,true,"Main",1542654826,"43",true,"Submit",false
false,true,"Main",1542750189,"98",true,"Submit",false
false,true,"Main",1542750569,"32",true,"Submit",false
false,true,"Main",1542750798,"43",true,"Submit",false
false,true,"Main",1542811916,"45",true,"Submit",false
false,true,"Main",1542812088,"75",true,"Submit",false
false,true,"Main",1542812546,"45",false,"Submit",true
false,true,"Main",1542812728,"64",true,"Submit",false
false,true,"Main",1542987257,"45",true,"Submit",false
false,true,"Main",1542987473,"67",true,"Submit",false
false,true,"Main",1542988035,"49",true,"Submit",false
false,true,"Main",1543081965,"47",true,"Submit",false
false,true,"Main",1543082117,"97",true,"Submit",false
false,true,"Main",1543082487,"45",false,"Submit",true
false,true,"Main",1543082847,"46",true,"Submit",false
false,true,"Main",1543265071,"49",true,"Submit",false
false,true,"Main",1543265416,"64",true,"Submit",false
false,true,"Main",1543265895,"2",true,"Submit",false
false,true,"Main",1543265911,"4",true,"Submit",false
false,true,"Main",1543339024,"46",true,"Submit",false
false,true,"Main",1543339343,"28",false,"Submit",true
false,true,"Main",1543339823,"68",true,"Submit",false
false,true,"Main",1543438219,"13",true,"Submit",false
false,true,"Main",1543438227,"14",true,"Submit",false
false,true,"Main",1543438369,"14",false,"Submit",true
false,true,"Main",1543438696,"150",true,"Submit",false
false,true,"Main",1543438706,"145",true,"Submit",false
false,true,"Main",1543511925,"65",true,"Submit",false
false,true,"Main",1543512328,"145",true,"Submit",false
false,true,"Main",1543512769,"15",true,"Submit",false
false,true,"Main",1543596195,"147",true,"Submit",false
false,true,"Main",1543596498,"148",true,"Submit",false
false,true,"Main",1543596513,"149",true,"Submit",false
false,true,"Main",1543596522,"150",true,"Submit",false
false,true,"Main",1543596543,"15",true,"Submit",false
false,true,"Main",1543596745,"68",true,"Submit",false
false,true,"Main",1543596885,"19",true,"Submit",false
false,true,"Main",1543688378,"151",true,"Submit",false
false,true,"Main",1543688394,"17",true,"Submit",false
false,true,"Main",1543688523,"17",false,"Submit",true
false,true,"Main",1543689013,"46",true,"Submit",false
false,true,"Main",1543689255,"41",true,"Submit",false
false,true,"Main",1543868651,"18",true,"Submit",false
false,true,"Main",1543869097,"18",false,"Submit",true
false,true,"Main",1543869469,"43",true,"Submit",false
false,true,"Main",1543955725,"49",true,"Submit",false
false,true,"Main",1543956096,"37",true,"Submit",false
false,true,"Main",1543956497,"17",true,"Submit",false
false,true,"Main",1543956529,"11",true,"Submit",false
false,true,"Main",1544033122,"36",true,"Submit",false
false,true,"Main",1544033456,"36",false,"Submit",true
false,true,"Main",1544033941,"46",true,"Submit",false
false,true,"Main",1544132346,"38",true,"Submit",false
false,true,"Main",1544132610,"48",true,"Submit",false
false,true,"Main",1544132820,"48",false,"Submit",true
false,true,"Main",1544133033,"54",true,"Submit",false
false,true,"Main",1544133233,"43",true,"Submit",false
false,true,"Main",1544214918,"26",true,"Submit",false
false,true,"Main",1544214920,"26",true,"Submit",false
false,true,"Main",1544215173,"32",true,"Submit",false
false,true,"Main",1544215422,"33",true,"Submit",false
false,true,"Main",1544215594,"33",false,"Submit",true
false,true,"Main",1544299204,"39",true,"Submit",false
false,true,"Main",1544299548,"39",false,"Submit",true
false,true,"Main",1544299732,"56",true,"Submit",false
false,true,"Main",1544299985,"56",false,"Submit",true
false,true,"Main",1544479158,"31",true,"Submit",false
false,true,"Main",1544479355,"31",true,"Submit",false
false,true,"Main",1544479368,"31",false,"Submit",true
false,true,"Main",1544479469,"19",true,"Submit",false
false,true,"Main",1544479608,"5",true,"Submit",false
false,true,"Main",1544479761,"42",true,"Submit",false
false,true,"Main",1544562056,"32",true,"Submit",false
false,true,"Main",1544562379,"79",true,"Submit",false
false,true,"Main",1544650123,"36",true,"Submit",false
false,true,"Main",1544650337,"26",true,"Submit",false
false,true,"Main",1544650498,"56",true,"Submit",false
false,true,"Main",1544650727,"42",true,"Submit",false
false,true,"Main",1544650911,"45",true,"Submit",false
false,true,"Main",1544650929,"43",true,"Submit",false
false,true,"Main",1544723975,"54",true,"Submit",false
false,true,"Main",1544724147,"26",true,"Submit",false
false,true,"Main",1544724154,"23",true,"Submit",false
false,true,"Main",1544724265,"42",true,"Submit",false
false,true,"Main",1544724394,"34",true,"Submit",false
false,true,"Main",1544724535,"54",true,"Submit",false
false,true,"Main",1544724701,"25",true,"Submit",false
false,true,"Main",1544724803,"87",true,"Submit",false
false,true,"Main",1544816736,"36",true,"Submit",false
false,true,"Main",1544817155,"31",true,"Submit",false
false,true,"Main",1544817289,"30",true,"Submit",false
false,true,"Main",1544817527,"38",true,"Submit",false
false,true,"Main",1544906083,"37",true,"Submit",false
false,true,"Main",1544906601,"38",true,"Submit",false
false,true,"Main",1544906839,"28",true,"Submit",false
false,true,"Main",1545077648,"26",true,"Submit",false
false,true,"Main",1545077925,"14",true,"Submit",false
false,true,"Main",1545078256,"35",true,"Submit",false
false,true,"Main",1545078509,"34",true,"Submit",false
false,true,"Main",1545249152,"24",true,"Submit",false
false,true,"Main",1545249342,"43",true,"Submit",false
false,true,"Main",1545249527,"35",true,"Submit",false
false,true,"Main",1545249784,"98",true,"Submit",false
false,true,"Main",1545340480,"24",true,"Submit",false
false,true,"Main",1545340495,"44",true,"Submit",false
false,true,"Main",1545340808,"45",true,"Submit",false
false,true,"Main",1545341149,"87",true,"Submit",false
false,true,"Main",1545428456,"34",true,"Submit",false
false,true,"Main",1545428613,"87",true,"Submit",false
false,true,"Main",1545429010,"32",true,"Submit",false
false,true,"Main",1545429161,"37",true,"Submit",false
false,true,"Main",1545429169,"38",true,"Submit",false
false,true,"Main",1545429307,"",true,"Quit",false
false,true,"Main",1545508388,"46",true,"Submit",false
false,true,"Main",1545508400,"47",true,"Submit",false
false,true,"Main",1545508625,"98",true,"Submit",false
false,true,"Main",1546464321,"",false,"Submit",true
false,true,"Main",1546464379,"34",false,"Submit",true
false,true,"Main",1546464705,"134",true,"Submit",false
false,true,"Main",1546549709,"89",true,"Submit",false
false,true,"Main",1546550324,"87",true,"Submit",false
false,true,"Main",1546626491,"8",true,"Submit",false
false,true,"Main",1546626628,"8",true,"Submit",false
false,true,"Main",1546639793,"87",true,"Submit",false
false,true,"Main",1546640274,"45",true,"Submit",false
false,true,"Main",1546640496,"46",true,"Submit",false
false,true,"Main",1546655652,"8",true,"Submit",false
false,true,"Main",1546655771,"8",true,"Submit",false
false,true,"Main",1546724281,"86",true,"Submit",false
false,true,"Main",1546724784,"43",false,"Submit",true
false,true,"Main",1546725131,"23",true,"Submit",false
false,true,"Main",1546898405,"41",true,"Submit",false
false,true,"Main",1546898784,"96",true,"Submit",false
false,true,"Main",1546984118,"83",true,"Submit",false
false,true,"Main",1546984649,"15",true,"Submit",false
false,true,"Main",1546984938,"155115151555155151151511515515151515",true,"Submit",false
false,true,"Main",1546984964,"15",true,"Submit",false
false,true,"Main",1547067302,"42",true,"Submit",false
false,true,"Main",1547067522,"34",true,"Submit",false
false,true,"Main",1547067536,"70",true,"Submit",false
false,true,"Main",1547152483,"38",true,"Submit",false
false,true,"Main",1547152505,"57",true,"Submit",false
false,true,"Main",1547152994,"65",true,"Submit",false
false,true,"Main",1547242990,"65",true,"Submit",false
false,true,"Main",1547243589,"24",true,"Submit",false
false,true,"Main",1547243666,"25",true,"Submit",false
false,true,"Main",1547243774,"6",true,"Submit",false
false,true,"Main",1547300035,"54",true,"Submit",false
false,true,"Main",1547300338,"63",true,"Submit",false
false,true,"Main",1547500373,"5",true,"Submit",false
false,true,"Main",1547500575,"8",true,"Submit",false
false,true,"Main",1547500875,"62",true,"Submit",false
false,true,"Main",1547675935,"",true,"Submit",false
false,true,"Main",1547675950,"78",true,"Submit",false
false,true,"Main",1547749632,"4",false,"Submit",true
false,true,"Main",1547761960,"61",true,"Submit",false
false,true,"Main",1547762735,"",true,"Quit",false
false,true,"Main",1547762755,"64",true,"Submit",false
false,true,"Main",1547762771,"65",true,"Submit",false
false,true,"Main",1547762787,"68",true,"Submit",false
false,true,"Main",1547762799,"63",true,"Submit",false
false,true,"Main",1547762808,"62",true,"Submit",false
false,true,"Main",1547762817,"67",true,"Submit",false
false,true,"Main",1547762829,"69",true,"Submit",false
false,true,"Main",1547848621,"23",true,"Submit",false
false,true,"Main",1547848781,"72",true,"Submit",false
false,true,"Main",1547849104,"76",true,"Submit",false
false,true,"Main",1547849462,"6",true,"Quit",false
false,true,"Main",1547931194,"45",true,"Submit",false
false,true,"Main",1547931267,"76",true,"Submit",false
false,true,"Main",1547931275,"75",true,"Submit",false
false,true,"Main",1547931487,"78",true,"Submit",false
false,true,"Main",1547931855,"78",true,"Submit",false
false,true,"Main",1547931869,"67",true,"Submit",false
false,true,"Main",1548103836,"78",true,"Submit",false
false,true,"Main",1548104448,"100",true,"Submit",false
false,true,"Main",1548191908,"78",true,"Submit",false
false,true,"Main",1548192386,"87",true,"Submit",false
false,true,"Main",1548192531,"85",true,"Submit",false
false,true,"Main",1548275657,"78",false,"Submit",true
false,true,"Main",1548275660,"78",false,"Submit",true
false,true,"Main",1548275661,"78",false,"Submit",true
false,true,"Main",1548275662,"78",false,"Submit",true
false,true,"Main",1548275662,"78",false,"Submit",true
false,true,"Main",1548275662,"78",false,"Submit",true
false,true,"Main",1548275670,"78",false,"Submit",true
false,true,"Main",1548276348,"76",true,"Submit",false
false,true,"Main",1548363906,"79",true,"Submit",false
false,true,"Main",1548363989,"76",true,"Submit",false
false,true,"Main",1548452367,"91",true,"Submit",false
false,true,"Main",1548453239,"45",true,"Submit",false
false,true,"Main",1548539292,"68",true,"Submit",false
false,true,"Main",1548539452,"65",true,"Submit",false
false,true,"Main",1548539679,"84",true,"Submit",false
false,true,"Main",1548711002,"65",true,"Submit",false
false,true,"Main",1548711522,"44",true,"Submit",false
false,true,"Main",1548796890,"63",true,"Submit",false
false,true,"Main",1548797164,"54",true,"Submit",false
false,true,"Main",1548797397,"74",true,"Submit",false
false,true,"Main",1548797663,"",true,"Quit",false
false,true,"Main",1548882256,"68",true,"Submit",false
false,true,"Main",1548882445,"52",true,"Submit",false
false,true,"Main",1548882565,"67",true,"Submit",false
false,true,"Main",1548882814,"67",true,"Submit",false
false,true,"Main",1548882823,"87",true,"Submit",false
false,true,"Main",1548971712,"62",true,"Submit",false
false,true,"Main",1548971979,"66",true,"Submit",false
false,true,"Main",1548971987,"64",true,"Submit",false
false,true,"Main",1548972209,"67",true,"Submit",false
false,true,"Main",1548972571,"63",true,"Submit",false
false,true,"Main",1549035416,"68",true,"Submit",false
false,true,"Main",1549035493,"61",true,"Submit",false
false,true,"Main",1549035745,"65",false,"Submit",true
false,true,"Main",1549035754,"64",false,"Submit",true
false,true,"Main",1549036215,"54",true,"Submit",false
